# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.4722
# k_min, k_max      =     0.0000    3.4733
# E_min, E_max      =   -63.1023  152.6701
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      1.014342    -63.100700
      1.018400    -63.100700
      1.022457    -63.100700
      1.026514    -63.100700
      1.030572    -63.100700
      1.034629    -63.100600
      1.038687    -63.100600
      1.042744    -63.100600
      1.046801    -63.100600
      1.050859    -63.100600
      1.054916    -63.100600
      1.058973    -63.100600
      1.063031    -63.100600
      1.067088    -63.100600
      1.071146    -63.100500
      1.075203    -63.100500
      1.079260    -63.100500
      1.083318    -63.100500
      1.087375    -63.100500
      1.091432    -63.100500
      1.095490    -63.100500
      1.099547    -63.100500
      1.103604    -63.100500
      1.107662    -63.100500
      1.111719    -63.100500
      1.115777    -63.100400
      1.119834    -63.100400
      1.123891    -63.100400
      1.127949    -63.100400
      1.132006    -63.100400
      1.136063    -63.100400
      1.140121    -63.100400
      1.144178    -63.100400
      1.148236    -63.100400
      1.152293    -63.100400
      1.156350    -63.100400
      1.160408    -63.100400
      1.164465    -63.100400
      1.168522    -63.100400
      1.172580    -63.100400
      1.176637    -63.100400
      1.180695    -63.100400
      1.184752    -63.100400
      1.188809    -63.100300
      1.192867    -63.100300
      1.196924    -63.100300
      1.200981    -63.100300
      1.205039    -63.100300
      1.209096    -63.100300
      1.213153    -63.100300
      1.217211    -63.100300
      1.221273    -63.100300
      1.225335    -63.100300
      1.229397    -63.100300
      1.233460    -63.100300
      1.237522    -63.100300
      1.241584    -63.100300
      1.245646    -63.100300
      1.249708    -63.100400
      1.253770    -63.100400
      1.257833    -63.100400
      1.261895    -63.100400
      1.265957    -63.100400
      1.270019    -63.100400
      1.274081    -63.100400
      1.278144    -63.100400
      1.282206    -63.100400
      1.286268    -63.100400
      1.290330    -63.100400
      1.294392    -63.100400
      1.298454    -63.100400
      1.302517    -63.100400
      1.306579    -63.100400
      1.310641    -63.100400
      1.314703    -63.100400
      1.318765    -63.100500
      1.322827    -63.100500
      1.326890    -63.100500
      1.330952    -63.100500
      1.335014    -63.100500
      1.339076    -63.100500
      1.343138    -63.100500
      1.347201    -63.100500
      1.351263    -63.100500
      1.355325    -63.100500
      1.359387    -63.100600
      1.363449    -63.100600
      1.367511    -63.100600
      1.371574    -63.100600
      1.375636    -63.100600
      1.379698    -63.100600
      1.383760    -63.100600
      1.387822    -63.100600
      1.391885    -63.100700
      1.395947    -63.100700
      1.400009    -63.100700
      1.404071    -63.100700
      1.408133    -63.100700
      1.412195    -63.100700
      1.416258    -63.100700
      1.420320    -63.100800
      1.424382    -63.100800
      1.428444    -63.100800
      1.432506    -63.100800
      1.436569    -63.100800
      1.440631    -63.100800
      1.444693    -63.100900
      1.448755    -63.100900
      1.452817    -63.100900
      1.456879    -63.100900
      1.460942    -63.100900
      1.465004    -63.100900
      1.469066    -63.101000
      1.473128    -63.101000
      1.477190    -63.101000
      1.481252    -63.101000
      1.485315    -63.101000
      1.489377    -63.101000
      1.493439    -63.101100
      1.497501    -63.101100
      1.501563    -63.101100
      1.505626    -63.101100
      1.509688    -63.101100
      1.513750    -63.101100
      1.517812    -63.101200
      1.521874    -63.101200
      1.525936    -63.101200
      1.529999    -63.101200
      1.534061    -63.101200
      1.538123    -63.101300
      1.542185    -63.101300
      1.546247    -63.101300
      1.550310    -63.101300
      1.554372    -63.101300
      1.558434    -63.101300
      1.562496    -63.101400
      1.566558    -63.101400
      1.570620    -63.101400
      1.574683    -63.101400
      1.578745    -63.101400
      1.582807    -63.101500
      1.586869    -63.101500
      1.590931    -63.101500
      1.594993    -63.101500
      1.599056    -63.101500
      1.603118    -63.101500
      1.607180    -63.101600
      1.611242    -63.101600
      1.615304    -63.101600
      1.619367    -63.101600
      1.623429    -63.101600
      1.627491    -63.101600
      1.631553    -63.101700
      1.635615    -63.101700
      1.639677    -63.101700
      1.643740    -63.101700
      1.647802    -63.101700
      1.651864    -63.101700
      1.655926    -63.101800
      1.659988    -63.101800
      1.664051    -63.101800
      1.668113    -63.101800
      1.672175    -63.101800
      1.676237    -63.101800
      1.680299    -63.101900
      1.684361    -63.101900
      1.688424    -63.101900
      1.692486    -63.101900
      1.696548    -63.101900
      1.700610    -63.101900
      1.704672    -63.101900
      1.708735    -63.102000
      1.712797    -63.102000
      1.716859    -63.102000
      1.720921    -63.102000
      1.724983    -63.102000
      1.729045    -63.102000
      1.733108    -63.102000
      1.737170    -63.102000
      1.741232    -63.102100
      1.745294    -63.102100
      1.749356    -63.102100
      1.753418    -63.102100
      1.757481    -63.102100
      1.761543    -63.102100
      1.765605    -63.102100
      1.769667    -63.102100
      1.773729    -63.102100
      1.777792    -63.102200
      1.781854    -63.102200
      1.785916    -63.102200
      1.789978    -63.102200
      1.794040    -63.102200
      1.798102    -63.102200
      1.802165    -63.102200
      1.806227    -63.102200
      1.810289    -63.102200
      1.814351    -63.102200
      1.818413    -63.102200
      1.822476    -63.102300
      1.826538    -63.102300
      1.830600    -63.102300
      1.834662    -63.102300
      1.838724    -63.102300
      1.842786    -63.102300
      1.846849    -63.102300
      1.850911    -63.102300
      1.854973    -63.102300
      1.859035    -63.102300
      1.863097    -63.102300
      1.867159    -63.102300
      1.871222    -63.102300
      1.875284    -63.102300
      1.879346    -63.102300
      1.883408    -63.102300
      1.887470    -63.102300
      1.891533    -63.102300
      1.895595    -63.102300
      1.899657    -63.102300
      1.903719    -63.102300
      1.907781    -63.102300
      1.911843    -63.102300
      1.915906    -63.102300
      1.919968    -63.102300
      1.924037    -63.102300
      1.928107    -63.102300
      1.932176    -63.102300
      1.936246    -63.102300
      1.940315    -63.102300
      1.944385    -63.102300
      1.948454    -63.102300
      1.952524    -63.102300
      1.956593    -63.102300
      1.960663    -63.102300
      1.964732    -63.102300
      1.968802    -63.102300
      1.972871    -63.102300
      1.976941    -63.102300
      1.981010    -63.102300
      1.985080    -63.102300
      1.989149    -63.102300
      1.993219    -63.102300
      1.997288    -63.102300
      2.001358    -63.102300
      2.005427    -63.102300
      2.009497    -63.102300
      2.013566    -63.102300
      2.017636    -63.102300
      2.021705    -63.102200
      2.025775    -63.102200
      2.029844    -63.102200
      2.033914    -63.102200
      2.037983    -63.102200
      2.042053    -63.102200
      2.046122    -63.102200
      2.050192    -63.102200
      2.054261    -63.102200
      2.058331    -63.102200
      2.062400    -63.102200
      2.066470    -63.102200
      2.070539    -63.102100
      2.074609    -63.102100
      2.078678    -63.102100
      2.082748    -63.102100
      2.086817    -63.102100
      2.090887    -63.102100
      2.094956    -63.102100
      2.099026    -63.102100
      2.103095    -63.102100
      2.107165    -63.102100
      2.111234    -63.102000
      2.115304    -63.102000
      2.119373    -63.102000
      2.123443    -63.102000
      2.127512    -63.102000
      2.131582    -63.102000
      2.135651    -63.102000
      2.139721    -63.102000
      2.143790    -63.101900
      2.147860    -63.101900
      2.151929    -63.101900
      2.155998    -63.101900
      2.160068    -63.101900
      2.164137    -63.101900
      2.168207    -63.101900
      2.172276    -63.101800
      2.176346    -63.101800
      2.180415    -63.101800
      2.184485    -63.101800
      2.188554    -63.101800
      2.192624    -63.101800
      2.196693    -63.101800
      2.200763    -63.101800
      2.204832    -63.101700
      2.208902    -63.101700
      2.212971    -63.101700
      2.217041    -63.101700
      2.221110    -63.101700
      2.225180    -63.101700
      2.229249    -63.101700
      2.233319    -63.101600
      2.237388    -63.101600
      2.241458    -63.101600
      2.245527    -63.101600
      2.249597    -63.101600
      2.253666    -63.101600
      2.257736    -63.101600
      2.261805    -63.101500
      2.265875    -63.101500
      2.269944    -63.101500
      2.274014    -63.101500
      2.278083    -63.101500
      2.282153    -63.101500
      2.286222    -63.101500
      2.290292    -63.101500
      2.294361    -63.101400
      2.298431    -63.101400
      2.302500    -63.101400
      2.306570    -63.101400
      2.310639    -63.101400
      2.314709    -63.101400
      2.318778    -63.101400
      2.322848    -63.101400
      2.326917    -63.101300
      2.330987    -63.101300
      2.335056    -63.101300
      2.339126    -63.101300
      2.343195    -63.101300
      2.347265    -63.101300
      2.351334    -63.101300
      2.355404    -63.101300
      2.359473    -63.101300
      2.363543    -63.101200
      2.367612    -63.101200
      2.371682    -63.101200
      2.375751    -63.101200
      2.379821    -63.101200
      2.383890    -63.101200
      2.387960    -63.101200
      2.392029    -63.101200
      2.396099    -63.101200
      2.400168    -63.101200
      2.404238    -63.101200
      2.408307    -63.101200
      2.412377    -63.101200
      2.416446    -63.101100
      2.420516    -63.101100
      2.424585    -63.101100
      2.428655    -63.101100
      2.432724    -63.101100
      2.436794    -63.101100
      2.440863    -63.101100
      2.444933    -63.101100
      2.449002    -63.101100
      2.453072    -63.101100
      2.457141    -63.101100
      2.461211    -63.101100
      2.465280    -63.101100
      2.469350    -63.101100
      2.473419    -63.101100
      2.477489    -63.101100
      2.481558    -63.101100
      2.485628    -63.101100
      2.489697    -63.101100
      2.493767    -63.101100
      2.497824    -63.101100
      2.501881    -63.101100
      2.505939    -63.101100
      2.509996    -63.101100
      2.514053    -63.101100
      2.518111    -63.101100
      2.522168    -63.101100
      2.526225    -63.101100
      2.530283    -63.101100
      2.534340    -63.101100
      2.538398    -63.101100
      2.542455    -63.101100
      2.546512    -63.101100
      2.550570    -63.101100
      2.554627    -63.101100
      2.558684    -63.101100
      2.562742    -63.101100
      2.566799    -63.101100
      2.570857    -63.101100
      2.574914    -63.101200
      2.578971    -63.101200
      2.583029    -63.101200
      2.587086    -63.101200
      2.591143    -63.101200
      2.595201    -63.101200
      2.599258    -63.101200
      2.603315    -63.101200
      2.607373    -63.101200
      2.611430    -63.101200
      2.615488    -63.101200
      2.619545    -63.101200
      2.623602    -63.101200
      2.627660    -63.101200
      2.631717    -63.101300
      2.635774    -63.101300
      2.639832    -63.101300
      2.643889    -63.101300
      2.647947    -63.101300
      2.652004    -63.101300
      2.656061    -63.101300
      2.660119    -63.101300
      2.664176    -63.101300
      2.668233    -63.101300
      2.672291    -63.101400
      2.676348    -63.101400
      2.680406    -63.101400
      2.684463    -63.101400
      2.688520    -63.101400
      2.692578    -63.101400
      2.696635    -63.101400
      2.700692    -63.101400
      2.704750    -63.101400
      2.708807    -63.101400
      2.712864    -63.101500
      2.716922    -63.101500
      2.720979    -63.101500
      2.725037    -63.101500
      2.729094    -63.101500
      2.733151    -63.101500
      2.737209    -63.101500
      2.741266    -63.101500
      2.745323    -63.101500
      2.749381    -63.101500
      2.753438    -63.101600
      2.757496    -63.101600
      2.761553    -63.101600
      2.765610    -63.101600
      2.769668    -63.101600
      2.773725    -63.101600
      2.777782    -63.101600
      2.781840    -63.101600
      2.785897    -63.101600
      2.789954    -63.101600
      2.794012    -63.101600
      2.798069    -63.101600
      2.802127    -63.101700
      2.806184    -63.101700
      2.810241    -63.101700
      2.814299    -63.101700
      2.818356    -63.101700
      2.822413    -63.101700
      2.826471    -63.101700
      2.830528    -63.101700
      2.834586    -63.101700
      2.838643    -63.101700
      2.842700    -63.101700
      2.846758    -63.101700
      2.850815    -63.101700
      2.854872    -63.101700
      2.858930    -63.101700
      2.862987    -63.101700
      2.867045    -63.101700
      2.871102    -63.101700
      2.875159    -63.101700
      2.879217    -63.101700
      2.883274    -63.101700
      2.887331    -63.101700
      2.891389    -63.101700
      2.895446    -63.101700
      2.899503    -63.101700
      2.903573    -63.101700
      2.907642    -63.101700
      2.911712    -63.101700
      2.915781    -63.101700
      2.919851    -63.101700
      2.923920    -63.101700
      2.927990    -63.101700
      2.932059    -63.101700
      2.936129    -63.101700
      2.940198    -63.101700
      2.944268    -63.101700
      2.948337    -63.101700
      2.952407    -63.101700
      2.956476    -63.101700
      2.960546    -63.101700
      2.964615    -63.101700
      2.968685    -63.101700
      2.972754    -63.101700
      2.976824    -63.101700
      2.980893    -63.101700
      2.984963    -63.101700
      2.989032    -63.101700
      2.993102    -63.101700
      2.997171    -63.101600
      3.001241    -63.101600
      3.005310    -63.101600
      3.009380    -63.101600
      3.013449    -63.101600
      3.017519    -63.101600
      3.021588    -63.101600
      3.025658    -63.101600
      3.029727    -63.101600
      3.033797    -63.101600
      3.037866    -63.101600
      3.041936    -63.101500
      3.046005    -63.101500
      3.050075    -63.101500
      3.054144    -63.101500
      3.058214    -63.101500
      3.062283    -63.101500
      3.066353    -63.101500
      3.070422    -63.101500
      3.074492    -63.101400
      3.078561    -63.101400
      3.082631    -63.101400
      3.086700    -63.101400
      3.090770    -63.101400
      3.094839    -63.101400
      3.098909    -63.101400
      3.102978    -63.101400
      3.107048    -63.101300
      3.111117    -63.101300
      3.115187    -63.101300
      3.119256    -63.101300
      3.123326    -63.101300
      3.127395    -63.101300
      3.131465    -63.101300
      3.135534    -63.101200
      3.139604    -63.101200
      3.143673    -63.101200
      3.147743    -63.101200
      3.151812    -63.101200
      3.155882    -63.101200
      3.159951    -63.101200
      3.164021    -63.101100
      3.168090    -63.101100
      3.172160    -63.101100
      3.176229    -63.101100
      3.180299    -63.101100
      3.184368    -63.101100
      3.188438    -63.101000
      3.192507    -63.101000
      3.196577    -63.101000
      3.200646    -63.101000
      3.204716    -63.101000
      3.208785    -63.101000
      3.212855    -63.101000
      3.216924    -63.100900
      3.220994    -63.100900
      3.225063    -63.100900
      3.229132    -63.100900
      3.233202    -63.100900
      3.237271    -63.100900
      3.241341    -63.100800
      3.245410    -63.100800
      3.249480    -63.100800
      3.253549    -63.100800
      3.257619    -63.100800
      3.261688    -63.100800
      3.265758    -63.100800
      3.269827    -63.100700
      3.273897    -63.100700
      3.277966    -63.100700
      3.282036    -63.100700
      3.286105    -63.100700
      3.290175    -63.100700
      3.294244    -63.100700
      3.298314    -63.100700
      3.302383    -63.100600
      3.306453    -63.100600
      3.310522    -63.100600
      3.314592    -63.100600
      3.318661    -63.100600
      3.322731    -63.100600
      3.326800    -63.100600
      3.330870    -63.100600
      3.334939    -63.100500
      3.339009    -63.100500
      3.343078    -63.100500
      3.347148    -63.100500
      3.351217    -63.100500
      3.355287    -63.100500
      3.359356    -63.100500
      3.363426    -63.100500
      3.367495    -63.100500
      3.371565    -63.100500
      3.375634    -63.100400
      3.379704    -63.100400
      3.383773    -63.100400
      3.387843    -63.100400
      3.391912    -63.100400
      3.395982    -63.100400
      3.400051    -63.100400
      3.404121    -63.100400
      3.408190    -63.100400
      3.412260    -63.100400
      3.416329    -63.100400
      3.420399    -63.100400
      3.424468    -63.100400
      3.428538    -63.100400
      3.432607    -63.100400
      3.436677    -63.100400
      3.440746    -63.100400
      3.444816    -63.100300
      3.448885    -63.100300
      3.452955    -63.100300
      3.457024    -63.100300
      3.461094    -63.100300
      3.465163    -63.100300
      3.469233    -63.100300
      3.473302    -63.100300


      0.000000    -39.427800
      0.004057    -39.427800
      0.008115    -39.427900
      0.012172    -39.428100
      0.016229    -39.428400
      0.020287    -39.428800
      0.024344    -39.429200
      0.028402    -39.429600
      0.032459    -39.430200
      0.036516    -39.430700
      0.040574    -39.431300
      0.044631    -39.432000
      0.048688    -39.432700
      0.052746    -39.433400
      0.056803    -39.434200
      0.060861    -39.434900
      0.064918    -39.435700
      0.068975    -39.436500
      0.073033    -39.437400
      0.077090    -39.438200
      0.081147    -39.439100
      0.085205    -39.439900
      0.089262    -39.440800
      0.093319    -39.441700
      0.097377    -39.442600
      0.101434    -39.443500
      0.105492    -39.444500
      0.109549    -39.445400
      0.113606    -39.446300
      0.117664    -39.447200
      0.121721    -39.448200
      0.125778    -39.449100
      0.129836    -39.450100
      0.133893    -39.451000
      0.137951    -39.452000
      0.142008    -39.452900
      0.146065    -39.453800
      0.150123    -39.454800
      0.154180    -39.455700
      0.158237    -39.456700
      0.162295    -39.457600
      0.166352    -39.458500
      0.170410    -39.459500
      0.174467    -39.460400
      0.178524    -39.461300
      0.182582    -39.462200
      0.186639    -39.463100
      0.190696    -39.464100
      0.194754    -39.464900
      0.198811    -39.465800
      0.202868    -39.466700
      0.206926    -39.467600
      0.210983    -39.468500
      0.215041    -39.469300
      0.219098    -39.470200
      0.223155    -39.471000
      0.227213    -39.471800
      0.231270    -39.472600
      0.235327    -39.473500
      0.239385    -39.474200
      0.243442    -39.475000
      0.247500    -39.475800
      0.251557    -39.476500
      0.255614    -39.477300
      0.259672    -39.478000
      0.263729    -39.478700
      0.267786    -39.479400
      0.271844    -39.480100
      0.275901    -39.480800
      0.279958    -39.481400
      0.284016    -39.482000
      0.288073    -39.482700
      0.292131    -39.483300
      0.296188    -39.483800
      0.300245    -39.484400
      0.304303    -39.484900
      0.308360    -39.485500
      0.312417    -39.486000
      0.316475    -39.486500
      0.320532    -39.486900
      0.324590    -39.487400
      0.328647    -39.487800
      0.332704    -39.488200
      0.336762    -39.488600
      0.340819    -39.489000
      0.344876    -39.489300
      0.348934    -39.489600
      0.352991    -39.489900
      0.357049    -39.490200
      0.361106    -39.490500
      0.365163    -39.490700
      0.369221    -39.490900
      0.373278    -39.491100
      0.377335    -39.491300
      0.381393    -39.491400
      0.385450    -39.491600
      0.389507    -39.491700
      0.393565    -39.491800
      0.397622    -39.491800
      0.401680    -39.491800
      0.405737    -39.491900
      0.409794    -39.491800
      0.413852    -39.491800
      0.417909    -39.491800
      0.421966    -39.491700
      0.426024    -39.491600
      0.430081    -39.491600
      0.434139    -39.491400
      0.438196    -39.491300
      0.442253    -39.491200
      0.446311    -39.491000
      0.450368    -39.490800
      0.454425    -39.490600
      0.458483    -39.490400
      0.462540    -39.490200
      0.466597    -39.490000
      0.470655    -39.489700
      0.474712    -39.489400
      0.478770    -39.489100
      0.482827    -39.488800
      0.486884    -39.488500
      0.490942    -39.488100
      0.494999    -39.487800
      0.499056    -39.487400
      0.503114    -39.487000
      0.507171    -39.486600
      0.511229    -39.486200
      0.515286    -39.485800
      0.519343    -39.485300
      0.523401    -39.484900
      0.527458    -39.484400
      0.531515    -39.483900
      0.535573    -39.483400
      0.539630    -39.482900
      0.543688    -39.482400
      0.547745    -39.481800
      0.551802    -39.481300
      0.555860    -39.480700
      0.559917    -39.480100
      0.563974    -39.479500
      0.568032    -39.478900
      0.572089    -39.478300
      0.576146    -39.477700
      0.580204    -39.477000
      0.584261    -39.476400
      0.588319    -39.475700
      0.592376    -39.475100
      0.596433    -39.474400
      0.600491    -39.473700
      0.604548    -39.473000
      0.608605    -39.472300
      0.612663    -39.471600
      0.616720    -39.470800
      0.620778    -39.470100
      0.624835    -39.469400
      0.628892    -39.468600
      0.632950    -39.467900
      0.637007    -39.467100
      0.641064    -39.466300
      0.645122    -39.465600
      0.649179    -39.464800
      0.653236    -39.464000
      0.657294    -39.463200
      0.661351    -39.462400
      0.665409    -39.461600
      0.669466    -39.460800
      0.673523    -39.460100
      0.677581    -39.459300
      0.681638    -39.458500
      0.685695    -39.457700
      0.689753    -39.456900
      0.693810    -39.456100
      0.697868    -39.455300
      0.701925    -39.454500
      0.705982    -39.453700
      0.710040    -39.452900
      0.714097    -39.452100
      0.718154    -39.451400
      0.722212    -39.450600
      0.726269    -39.449900
      0.730326    -39.449100
      0.734384    -39.448400
      0.738441    -39.447700
      0.742499    -39.447000
      0.746556    -39.446300
      0.750613    -39.445700
      0.754671    -39.445100
      0.758728    -39.444500
      0.762785    -39.443900
      0.766843    -39.443300
      0.770900    -39.442800
      0.774958    -39.442400
      0.779015    -39.441900
      0.783072    -39.441500
      0.787130    -39.441200
      0.791187    -39.440900
      0.795244    -39.440600
      0.799302    -39.440400
      0.803359    -39.440300
      0.807417    -39.440200
      0.811474    -39.440200
      0.815531    -39.440200
      0.819589    -39.440200
      0.823646    -39.440200
      0.827703    -39.440200
      0.831761    -39.440200
      0.835818    -39.440200
      0.839875    -39.440100
      0.843933    -39.440100
      0.847990    -39.440100
      0.852048    -39.440100
      0.856105    -39.440100
      0.860162    -39.440100
      0.864220    -39.440100
      0.868277    -39.440100
      0.872334    -39.440100
      0.876392    -39.440100
      0.880449    -39.440100
      0.884507    -39.440100
      0.888564    -39.440100
      0.892621    -39.440000
      0.896679    -39.440000
      0.900736    -39.440000
      0.904793    -39.440000
      0.908851    -39.440000
      0.912908    -39.440000
      0.916965    -39.440000
      0.921023    -39.439900
      0.925080    -39.439900
      0.929138    -39.439900
      0.933195    -39.439900
      0.937252    -39.439900
      0.941310    -39.439900
      0.945367    -39.439800
      0.949424    -39.439800
      0.953482    -39.439800
      0.957539    -39.439800
      0.961597    -39.439800
      0.965654    -39.439800
      0.969711    -39.439700
      0.973769    -39.439700
      0.977826    -39.439700
      0.981883    -39.439700
      0.985941    -39.439700
      0.989998    -39.439600
      0.994056    -39.439600
      0.998113    -39.439600
      1.002170    -39.439600
      1.006228    -39.439600
      1.010285    -39.439500
      1.014342    -39.439500
      1.018400    -39.439500
      1.022457    -39.439500
      1.026514    -39.439400
      1.030572    -39.439400
      1.034629    -39.439400
      1.038687    -39.439400
      1.042744    -39.439400
      1.046801    -39.439300
      1.050859    -39.439300
      1.054916    -39.439300
      1.058973    -39.439300
      1.063031    -39.439300
      1.067088    -39.439200
      1.071146    -39.439200
      1.075203    -39.439200
      1.079260    -39.439200
      1.083318    -39.439200
      1.087375    -39.439200
      1.091432    -39.439100
      1.095490    -39.439100
      1.099547    -39.439100
      1.103604    -39.439100
      1.107662    -39.439100
      1.111719    -39.439100
      1.115777    -39.439000
      1.119834    -39.439000
      1.123891    -39.439000
      1.127949    -39.439000
      1.132006    -39.439000
      1.136063    -39.439000
